Q15_1,Q15_2_M2,Q19,Q26,Q33,cluster
1.0,10.0,1.0,1.0,3.0,2
2.0,40.0,1.0,1.0,1.0,1
4.0,240.0,1.0,0.0,3.0,3
3.0,150.0,1.0,0.0,2.0,1
20.0,90.0,0.0,0.0,4.0,0
15.0,60.0,1.0,0.0,1.0,1
2.0,60.0,0.0,0.0,3.0,0
10.0,60.0,1.0,0.0,2.0,1
5.0,60.0,1.0,0.0,2.0,1
10.0,60.0,0.0,1.0,3.0,2
4.0,30.0,0.0,0.0,3.0,0
20.0,30.0,0.0,0.0,2.0,0
7.0,40.0,0.0,0.0,2.0,0
5.0,40.0,0.0,0.0,2.0,0
5.0,40.0,0.0,0.0,1.0,0
4.0,30.0,0.0,1.0,2.0,2
10.0,40.0,1.0,0.0,2.0,1
1.0,5.0,0.0,0.0,1.0,0
2.0,30.0,0.0,0.0,3.0,0
2.0,30.0,1.0,0.0,2.0,1
1.0,10.0,0.0,0.0,2.0,0
6.0,50.0,1.0,1.0,1.0,1
5.0,30.0,0.0,0.0,2.0,0
15.0,150.0,1.0,1.0,4.0,2
8.0,180.0,1.0,0.0,2.0,3
2.0,120.0,0.0,1.0,3.0,2
2.0,240.0,1.0,0.0,3.0,3
3.0,180.0,1.0,0.0,2.0,3
2.0,120.0,0.0,0.0,3.0,0
15.0,60.0,1.0,1.0,3.0,2
26.0,120.0,0.0,1.0,4.0,2
